Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
AdaBoost,glove.twitter.27B.200d_max,0.622265625,0.5763239875389408,0.5927387529597474,0.6173916085032756,0.5770556638801109,0.5849381183593606,0.622265625,0.5763239875389408,0.5927387529597474,0.6113925922867747,0.5667482701471575,0.5816532284517528,0.6020991845973438,0.5703835834823858,0.5719870226571642
Extra Trees,glove.twitter.27B.200d_max,0.9994140625,0.5809968847352025,0.5935280189423836,0.9994141685629903,0.5887819268407256,0.5849272126014975,0.9994140625,0.5809968847352025,0.5935280189423836,0.9994140768214728,0.5594119182934906,0.5703732150773296,0.9994294784546769,0.5721576327863753,0.5645321419707123
XGBoost,glove.twitter.27B.200d_max,0.9994140625,0.588006230529595,0.590370955011839,0.9994141685629903,0.5895793981643371,0.5829777676078169,0.9994140625,0.588006230529595,0.590370955011839,0.9994140768214728,0.5789959694630714,0.5812100670159248,0.9994294784546769,0.5821797962516525,0.5713133354607666
Logistic Regression,glove.twitter.27B.200d_sum,0.61943359375,0.6035825545171339,0.606156274664562,0.6143642041559675,0.6090717738323,0.5992960278714577,0.61943359375,0.6035825545171339,0.606156274664562,0.6076727247897096,0.5913269192635527,0.5914778290451693,0.5985500819369346,0.5967075589081577,0.5824646314221891
Decision Tree,glove.twitter.27B.200d_sum,0.9994140625,0.5249221183800623,0.5311760063141279,0.9994148447930573,0.5235063483646701,0.5319433479095634,0.9994140625,0.5249221183800623,0.5311760063141279,0.9994141053240593,0.5233534540515561,0.5315387649104003,0.9994784422809457,0.5224988335018275,0.5242970605963905
Random Forest,glove.twitter.27B.200d_sum,0.9994140625,0.5903426791277259,0.5769534333070244,0.9994141685629903,0.5937288253992217,0.5666609327324101,0.9994140625,0.5903426791277259,0.5769534333070244,0.9994140768214728,0.5784967962393728,0.5619178106577273,0.9994294784546769,0.5836670814215724,0.5532922029571322
SVM,glove.twitter.27B.200d_sum,0.6759765625,0.6113707165109035,0.6037884767166535,0.6836576436999351,0.6267246234854753,0.5979886310579243,0.6759765625,0.6113707165109035,0.6037884767166535,0.6590157213979171,0.5905914801391939,0.5781461731416485,0.6501779432217949,0.60242339995334,0.57322802538737
KNN,glove.twitter.27B.200d_sum,0.63818359375,0.5693146417445483,0.5753749013417522,0.6345813354971733,0.5709359719090884,0.5648970766349858,0.63818359375,0.5693146417445483,0.5753749013417522,0.6285612704031995,0.555236597319999,0.5602831756228681,0.6189856616562417,0.5621937942297224,0.5516877637130801
Gaussian NB,glove.twitter.27B.200d_sum,0.5927734375,0.5872274143302181,0.584846093133386,0.5949386750219429,0.5866899539291397,0.5881341934554165,0.5927734375,0.5872274143302181,0.584846093133386,0.5936223266961652,0.5867177850392412,0.5860213053674805,0.5889697515116806,0.5857278948596314,0.5817023011736341
AdaBoost,glove.twitter.27B.200d_sum,0.622265625,0.5763239875389408,0.5927387529597474,0.6173916085032756,0.5770556638801109,0.5849381183593606,0.622265625,0.5763239875389408,0.5927387529597474,0.6113925922867747,0.5667482701471575,0.5816532284517528,0.6020991845973438,0.5703835834823858,0.5719870226571642
