Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
Decision Tree,TF-IDF,0.6485453755970473,0.20171339563862928,0.19731649565903708,0.8083636731174806,0.20298095385636672,0.1962442656514273,0.6485453755970473,0.20171339563862928,0.19731649565903708,0.672515651263029,0.18525365267059418,0.17465950910138595,0.9037583710833876,0.5132599971393618,0.5161063055407589
Random Forest,TF-IDF,0.9804602692140686,0.2570093457943925,0.2541436464088398,0.9811677626282512,0.26275106600841674,0.25604724154800784,0.9804602692140686,0.2570093457943925,0.2541436464088398,0.980525861163059,0.24572485904867183,0.23930636401933014,0.9992859102044315,0.6060153301722493,0.5892651792150533
SVM,TF-IDF,0.9533651758575771,0.2616822429906542,0.2517758484609313,0.9549639954229572,0.29670387712973634,0.27667384171466863,0.9533651758575771,0.2616822429906542,0.2517758484609313,0.9535055842625498,0.24842445690325926,0.23685294258541584,0.996123432922067,0.6132353411610999,0.5925984730370465
KNN,TF-IDF,0.19183673469387755,0.09579439252336448,0.07261247040252565,0.3953211412869094,0.26388183980547003,0.10905337186322861,0.19183673469387755,0.09579439252336448,0.07261247040252565,0.07427394361490636,0.027273706590939573,0.01430378577789795,0.7867546024399913,0.5503411852336587,0.5311334872501632
Gaussian NB,TF-IDF,0.6598349978289189,0.17834890965732086,0.17995264404104183,0.7633707249349541,0.2233779307342975,0.2178679628927363,0.6598349978289189,0.17834890965732086,0.17995264404104183,0.6558194570257246,0.1752898084790356,0.17697332854843148,0.8072522622731448,0.5206308677185087,0.5202026883746061
AdaBoost,TF-IDF,0.25392965696917064,0.2102803738317757,0.19968429360694553,0.24114015321197096,0.17464695405278746,0.148687932955287,0.25392965696917064,0.2102803738317757,0.19968429360694553,0.19021623234248983,0.1461000131642455,0.13130678786714733,0.6043308553571165,0.5385911348439179,0.5456354266741733
Extra Trees,TF-IDF,0.5857577073382545,0.21884735202492211,0.21468034727703236,0.7894223526721187,0.2640263997816973,0.31186946271817706,0.5857577073382545,0.21884735202492211,0.21468034727703236,0.5840134493046629,0.16988431792443487,0.16156081674900036,0.9155856361142464,0.5834584034363521,0.5767313128747483
XGBoost,TF-IDF,0.9849761181068172,0.24376947040498442,0.2138910812943962,0.9850255781508731,0.24489508381216946,0.21162432525712196,0.9849761181068172,0.24376947040498442,0.2138910812943962,0.984983191622458,0.24329060411879305,0.21202641826232996,0.9995300065864102,0.5734346480090116,0.5565362012220499
Logistic Regression,glove.6B.300d_mean,0.3238384715588363,0.21884735202492211,0.21310181531176006,0.3150788672538284,0.23002401651674578,0.23456018987323424,0.3238384715588363,0.21884735202492211,0.21310181531176006,0.3096313554499151,0.21272796700225372,0.21174569735282775,0.6779728401647152,0.573715946452608,0.5663705349778627
Decision Tree,glove.6B.300d_mean,0.9984368215371255,0.20015576323987538,0.1941594317284925,0.9984462956143029,0.204626225840551,0.20018826878802984,0.9984368215371255,0.20015576323987538,0.1941594317284925,0.9984382827878843,0.201132876091466,0.19641087185073342,0.9999985184976016,0.5176080513934153,0.5119968336440965
Random Forest,glove.6B.300d_mean,0.9984368215371255,0.24221183800623053,0.20441988950276244,0.9984442518982913,0.24126329196985233,0.20729661504929298,0.9984368215371255,0.24221183800623053,0.20441988950276244,0.9984380751669758,0.23236265218648314,0.19598094628220256,0.9999932357962594,0.5776402803389447,0.5533824919655176
SVM,glove.6B.300d_mean,0.49743812418584454,0.23909657320872274,0.23362273086029992,0.516321875595694,0.2579053875263655,0.25626733337269003,0.49743812418584454,0.23909657320872274,0.23362273086029992,0.4802588972928815,0.22718291095799104,0.22322984139724047,0.8141918620258434,0.5880703451782076,0.5819257240483386
KNN,glove.6B.300d_mean,0.273643074250977,0.1526479750778816,0.13180741910023677,0.34459462320012907,0.24346477430575603,0.22442628682519614,0.273643074250977,0.1526479750778816,0.13180741910023677,0.21366359859177525,0.12362899513912039,0.11856630072869156,0.7254368512576237,0.5560086041953243,0.5463211866560059
Gaussian NB,glove.6B.300d_mean,0.2687798523664785,0.18847352024922118,0.18389897395422258,0.26889131091212265,0.21277520734377336,0.2075341874927326,0.2687798523664785,0.18847352024922118,0.18389897395422258,0.21896666259782005,0.16584467199235542,0.15999424096607806,0.6127328834216126,0.5462995426524543,0.5508699441820477
AdaBoost,glove.6B.300d_mean,0.2778115501519757,0.19937694704049844,0.18547750591949486,0.25839292801523767,0.23830922507844415,0.20996187604838004,0.2778115501519757,0.19937694704049844,0.18547750591949486,0.24470175991404447,0.1795421163727334,0.1768030662714425,0.6213194767895771,0.5545235086898722,0.5603088886647059
Extra Trees,glove.6B.300d_mean,0.9984368215371255,0.2484423676012461,0.23520126282557222,0.9984426769730501,0.24489452180220492,0.25347849901637465,0.9984368215371255,0.2484423676012461,0.23520126282557222,0.9984379747061057,0.23175460001144152,0.22373682763082725,0.9999985184976016,0.5960379066642975,0.5814300626572295
XGBoost,glove.6B.300d_mean,0.9985236647850629,0.23753894080996885,0.20363062352012629,0.9985272877939694,0.23782517214350132,0.20280354917436924,0.9985236647850629,0.23753894080996885,0.20363062352012629,0.9985244786607324,0.23518178624102704,0.20178009879084377,0.9999986460664572,0.5722004091613998,0.5479644710278674
Logistic Regression,glove.6B.300d_max,0.3238384715588363,0.21884735202492211,0.21310181531176006,0.3150788672538284,0.23002401651674578,0.23456018987323424,0.3238384715588363,0.21884735202492211,0.21310181531176006,0.3096313554499151,0.21272796700225372,0.21174569735282775,0.6779728401647152,0.573715946452608,0.5663705349778627
